X,Y,FID,Route,Station,Latitude,Longitude
-75.1321823509999,39.9851720060001,44,Market-Frankford Line,York-Dauphin,39.985172006,-75.132182351
-75.1273881269999,39.9888332290001,45,Market-Frankford Line,Huntingdon,39.988833229,-75.127388127
-75.1225658519999,39.9914557360001,46,Market-Frankford Line,Somerset,39.991455736,-75.122565852
-75.1133776309999,39.9964993890001,47,Market-Frankford Line,Allegheny,39.996499389,-75.113377631
-75.1065060539999,40.0002685190002,48,Market-Frankford Line,Tioga,40.000268519,-75.106506054
-75.0964419859999,40.0057992420001,49,Market-Frankford Line,Erie-Torresdale,40.005799242,-75.096441986
-75.0887231429999,40.01088143,50,Market-Frankford Line,Church,40.01088143,-75.088723143
-75.0839642799999,40.0164975000002,51,Market-Frankford Line,Arrott Transportation Center,40.0164975,-75.08396428
-75.0778789629999,40.0229929630001,52,Market-Frankford Line,Frankford Transportation Center,40.022992963,-75.077878963
-75.3481532519999,40.1048905290001,53,Norristown Highspeed Line,Bridgeport,40.104890529,-75.348153252
-75.3424963629999,40.071227268,54,Norristown Highspeed Line,Gulph Mills,40.071227268,-75.342496363
-75.3407664809999,40.0326950680001,55,Norristown Highspeed Line,Stadium (Ithan Ave),40.032695068,-75.340766481
-75.3302944509999,40.0214267340002,56,Norristown Highspeed Line,Roberts Rd,40.021426734,-75.330294451
-75.2916379839998,39.986602024,57,Norristown Highspeed Line,Beechwood-Brookline,39.986602024,-75.291637984
-75.2742059989999,39.9686800010001,58,Norristown Highspeed Line,Parkview,39.968680001,-75.274205999
-75.2815424239999,39.974740926,59,Norristown Highspeed Line,Township Line Rd,39.974740926,-75.281542424
-75.2839901959999,39.9809999480001,60,Norristown Highspeed Line,Penfield,39.980999948,-75.283990196
-75.2983899959999,39.9934800060001,61,Norristown Highspeed Line,Wynnewood Rd,39.993480006,-75.298389996
-75.3094891189999,39.9999851160001,62,Norristown Highspeed Line,Ardmore Ave,39.999985116,-75.309489119
-75.3152860599999,40.0100182730001,63,Norristown Highspeed Line,Haverford,40.010018273,-75.31528606
-75.3233523309999,40.018013001,64,Norristown Highspeed Line,Bryn Mawr,40.018013001,-75.323352331
-75.3363190449999,40.0278779580001,65,Norristown Highspeed Line,Garrett Hill,40.027877958,-75.336319045
-75.3439689639999,40.0340507100001,66,Norristown Highspeed Line,Villanova,40.03405071,-75.343968964
-75.3535826239999,40.0420190710002,67,Norristown Highspeed Line,Radnor,40.042019071,-75.353582624
-75.3471486879998,40.0503617510001,68,Norristown Highspeed Line,County Line,40.050361751,-75.347148688
-75.3394814289999,40.0578984140001,69,Norristown Highspeed Line,Matsonford,40.057898414,-75.339481429
-75.3489080209998,40.0812419840002,70,Norristown Highspeed Line,Hughes Park,40.081241984,-75.348908021
-75.352056048,40.0988680050001,71,Norristown Highspeed Line,DeKalb St,40.098868005,-75.352056048
-75.3035360549999,39.9961893870002,72,Norristown Highspeed Line,Ardmore Junction,39.996189387,-75.303536055
-75.3452239009998,40.1134860830001,73,Norristown Highspeed Line,Norristown Transportation Center,40.113486083,-75.345223901
-75.2591415839999,39.9627393440002,74,Norristown Highspeed Line,69th Street Transportation Center,39.962739344,-75.259141584
